feature,pearson,spearman,abs_pearson,abs_spearman,p_value,n_samples
oi_zscore,-0.1323,-0.1623,0.13230984717972194,0.16226487722067737,0.000348,482
return_24h,-0.039,-0.0478,0.03898802467462277,0.047793801490418016,0.0,17316
log_return_24h,-0.0398,-0.0478,0.03978848747347988,0.047793801490418016,0.0,17316
price_vs_ema_50,-0.0262,-0.0434,0.02623842026320743,0.043404419285609175,0.0,17316
macd,-0.0303,-0.0398,0.030315759736705836,0.039807532120742936,0.0,17316
rsi_7,-0.0071,-0.0393,0.007080429526370823,0.03932537124720435,0.0,17316
delta,-0.0101,-0.0382,0.010120466793465076,0.03823856096980386,0.0,17316
rsi_14,-0.0048,-0.0368,0.004821540371005742,0.03684744198601319,1e-06,17316
bb_pct_b,0.0027,-0.0337,0.0026901334939057812,0.03366114816778029,9e-06,17316
price_vs_ema_200,-0.019,-0.0336,0.019049342493590943,0.03362145218443724,1e-05,17316
taker_buy_ratio,-0.0176,-0.0335,0.017598900796949014,0.03346402437385976,1.1e-05,17316
delta_norm,-0.0176,-0.0335,0.01758447376059889,0.03345765468524661,1.1e-05,17316
return_4h,-0.0058,-0.0321,0.0058490549874337895,0.03208250760430877,2.4e-05,17316
log_return_4h,-0.0058,-0.0321,0.005795336858428713,0.03208250760430877,2.4e-05,17316
macd_signal,-0.0306,-0.032,0.03056391015252485,0.03198946589513656,2.6e-05,17316
upper_wick,0.0438,0.0318,0.043820989026570334,0.031810327999574325,2.8e-05,17316
sell_vol,0.0216,0.0292,0.021616205441014415,0.029175902715935738,0.000123,17316
va_range,0.0249,0.0287,0.024890870156873867,0.028660328154062976,0.000162,17316
return_1h,-0.0049,-0.0285,0.004850268164692547,0.02849577960792429,0.000177,17316
log_return_1h,-0.005,-0.0285,0.005023159976185758,0.02849577960792429,0.000177,17316
ema_8_21_cross,0.0004,-0.0274,0.00040148012240022696,0.027421192640892066,0.000308,17316
sum_open_interest,-0.0147,0.0268,0.014655031952570202,0.026818675656385516,0.547647,505
atr_ratio,0.0424,0.0266,0.04244207874499937,0.02656855893332592,0.000471,17316
sell_trade_count,0.0209,0.026,0.02089736159444256,0.026011443363432942,0.000619,17316
macd_hist,-0.0053,-0.0259,0.005328838516995061,0.02594435198580112,0.000639,17316
volatility_24h,0.0288,0.0254,0.028787166837107424,0.025387289126334228,0.000835,17316
is_bullish,-0.011,-0.0249,0.010959096302811234,0.02488232977013781,0.001058,17316
cvd,-0.0287,-0.0246,0.028676063230190424,0.024646107611042804,0.001181,17316
buy_trade_count,0.0228,0.0246,0.02284157719653789,0.024606983559017137,0.001202,17316
poc_distance,-0.0159,-0.0242,0.015918864365773996,0.024167639151560845,0.00147,17316
close,-0.0244,-0.0239,0.024425740945248974,0.023904423848009313,0.001656,17316
val,-0.0243,-0.0237,0.024322751522934127,0.023697361379497923,0.001817,17316
low,-0.0243,-0.0236,0.024306024282231543,0.02357137893694242,0.001922,17316
poc_price,-0.0242,-0.0235,0.024205218164183428,0.023545227376918283,0.001945,17316
vah,-0.0241,-0.0233,0.024107494846377815,0.02331705365277965,0.002151,17316
open,-0.0243,-0.0232,0.024316157350257297,0.023162772677200388,0.002302,17316
high,-0.024,-0.0231,0.023973527216279964,0.023117341442968665,0.002349,17316
volume,0.0206,0.0231,0.020634823720006128,0.02306192697532883,0.002406,17316
total_vol,0.0206,0.0231,0.02063076126532043,0.02305108332261031,0.002417,17316
bb_width,0.0197,0.0228,0.019682968060765464,0.022760366201848427,0.002743,17316
ema_8,-0.0241,-0.0226,0.024116213891270968,0.022587382047745172,0.002954,17316
trade_count,0.014,0.0218,0.014042129625824152,0.021844884892618134,0.004044,17316
ema_21,-0.0234,-0.0212,0.023386127350850165,0.02124779428333973,0.005172,17316
bb_lower,-0.024,-0.0208,0.023955466893552314,0.020845421655740076,0.006085,17316
bb_upper,-0.0231,-0.0197,0.023141897357720154,0.01967125751756255,0.009636,17316
ema_50,-0.0225,-0.0196,0.022493439554720038,0.019578116780178827,0.009985,17316
large_trade_ratio,-0.0108,-0.0175,0.010788089510853397,0.017469438465169723,0.021515,17316
ema_200,-0.0217,-0.0175,0.021744029229444378,0.01746341993646044,0.02156,17316
cvd_norm,-0.0043,-0.0174,0.00429631323786491,0.01740051662114263,0.022036,17316
candle_body,0.0193,0.017,0.019281943454132682,0.01700728146831903,0.025222,17316
is_us_session,0.0083,0.0161,0.008267438344962448,0.016065910642181234,0.034507,17316
vol_sma_24,0.0437,0.016,0.04368652560411109,0.016008678346364068,0.035155,17316
vol_ratio_24h,-0.0012,0.0158,0.0011915076621465141,0.015836827725188747,0.037164,17316
cvd_divergence,0.011,0.0156,0.011005260584288355,0.015632963135843843,0.039674,17316
large_trade_count,0.0156,0.0155,0.015593940220541709,0.015461136715817116,0.0419,17316
volatility_7d,0.0157,0.0154,0.015675942810029368,0.01544706387322888,0.042087,17316
buy_vol,0.0189,0.0153,0.018892262272569512,0.015330689601736442,0.04366,17316
oi_price_divergence,0.0123,0.0153,0.012290890550677848,0.015304937676058878,0.044014,17316
large_trade_vol,0.0151,0.0147,0.015137314840737694,0.014663788473720312,0.053659,17316
is_european_session,-0.0068,-0.0143,0.0067901791815137245,0.014300436287070893,0.059869,17316
atr_14,0.0202,0.0141,0.020163615049712487,0.014064407314317335,0.064213,17316
vol_zscore,0.0002,0.0129,0.00024291773551346572,0.012874797608681848,0.090238,17316
hour_sin,-0.0056,-0.0114,0.00558655601592572,0.011440290164849948,0.132229,17316
vol_ratio,0.011,0.0111,0.01100917815277835,0.011074139312658656,0.145064,17316
oi_delta_norm,0.0045,0.0109,0.004508229172034268,0.010904506599728296,0.806884,505
buy_sell_cnt_ratio,-0.002,-0.0102,0.001954679759899668,0.01017496906423178,0.180615,17316
funding_24h_mean,-0.0054,-0.0102,0.005441223616515287,0.010158785051803754,0.181309,17316
liq_direction,-0.0068,-0.01,0.006799363180040636,0.010018074591421093,0.18743,17316
liq_long_proxy,0.0068,0.01,0.006799363180040636,0.010018074591421093,0.18743,17316
hour_cos,0.0039,0.0089,0.00386007222077432,0.008854256769070309,0.24399,17316
funding_rate,-0.017,-0.0081,0.016964007136391845,0.008124720758655363,0.285036,17316
hour_of_day,0.0022,0.0065,0.002216769007906131,0.006492690187116356,0.392926,17316
funding_8h_change,-0.0113,0.0061,0.011339011678700326,0.006135480192648228,0.419483,17316
is_asian_session,0.0029,0.0035,0.002875302205217307,0.0034690471024893467,0.648058,17316
macd_cross,0.0043,0.0021,0.00427832609154304,0.0021484665260336,0.777409,17316
dow_cos,0.0165,0.0021,0.016478110293250223,0.002119236045091994,0.780359,17316
dow_sin,0.0081,0.002,0.00810427592168345,0.002036011967209614,0.788776,17316
is_eu_us_overlap,-0.0001,0.0018,9.038917467028116e-05,0.001832916604695371,0.809418,17316
day_of_week,-0.0166,-0.0012,0.0165581998805479,0.0012363081182972665,0.870775,17316
oi_delta,0.0002,-0.0011,0.000208111629751531,0.0010739694875523628,0.887622,17316
is_weekend,-0.0081,-0.001,0.008065461206076733,0.00097548826567587,0.897868,17316
lower_wick,-0.01,0.0002,0.009954417611069695,0.00016203353820187918,0.98299,17316
max_imbalance,,,,,,17316
funding_extreme_long,,,,,,17316
funding_extreme_short,,,,,,17316
liq_short_proxy,,,,,,17316
cascade_flag,,,,,,17316
cascade_4h,,,,,,17316
cascade_24h,,,,,,17316
